district,transaction_type,land_shift_area,urban_land_use,main_use,main_building_material,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_category,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
Neihu District,Premises (land + building) + parking space,17.77,Address,Resident,Reinforced concrete construction,97.0,109.59,2,2,1,有,有,23680000.0,216078.10931654347,Ramp machinery,32.86,0,2019,10,1922.0,3,1,2
Zhongshan Area,Premises (land + building),88.0,Address,See other registration items,Strengthen brickwork,60.0,220.5,6,6,3,有,無,42700000.0,193650.79365079364,Not Applicable,0.0,0,2019,09,1959.0,1,1,0
Zhongshan Area,Premises (land + building) + parking space,6.12,Address,For commercial use,Reinforced concrete construction,96.0,57.150000000000006,1,1,1,有,有,9600000.0,167979.0026246719,Lifting machinery,13.27,0,2019,09,1923.0,1,1,1
Zhongshan Area,Premises (land + building),10.97,Quotient,For commercial use,Reinforced concrete construction,79.0,84.45,2,1,1,有,有,13500000.0,159857.90408525756,Not Applicable,0.0,0,2019,10,1940.0,1,1,0
Zhongshan Area,Premises (land + building),11.73,Quotient,For commercial use,Reinforced concrete construction,79.0,92.10000000000001,1,1,0,有,有,22600000.0,245385.45059717697,Not Applicable,0.0,0,2019,10,1940.0,1,1,0
Zhongshan Area,Premises (land + building),5.25,Quotient,Resident,Reinforced concrete construction,69.0,45.04,1,1,1,有,有,6800000.0,150976.90941385436,Not Applicable,0.0,0,2019,09,1950.0,1,1,0
Xinyi District,Premises (land + building),11.42,Address,Resident,Reinforced concrete construction,98.0,50.53,1,1,1,有,有,13300000.0,263209.9742727093,Not Applicable,0.0,0,2019,09,1921.0,1,1,0
Songshan District,Premises (land + building),14.43,Address,Resident,Reinforced concrete construction,65.0,61.92,2,2,1,有,有,13000000.0,209948.32041343668,Not Applicable,0.0,0,2019,10,1954.0,1,1,0
Xinyi District,Premises (land + building) + parking space,6.69,Other,Resident,See other registration items,96.0,69.4,1,1,1,有,有,25800000.0,371757.92507204605,Ramp machinery,17.45,0,2019,09,1923.0,1,1,1
Songshan District,Premises (land + building),29.77,Address,See other registration items,Reinforced concrete construction,91.0,138.06,3,2,2,有,有,26200000.0,189772.56265391858,Not Applicable,0.0,0,2019,09,1928.0,3,1,0
Songshan District,Premises (land + building),27.93,Address,See other registration items,Reinforced concrete construction,81.0,118.24000000000001,3,2,2,有,有,23200000.0,196211.09607577807,Not Applicable,0.0,0,2019,09,1938.0,1,1,0
Xinyi District,Premises (land + building),31.0,Address,Resident,Reinforced concrete construction,62.325,63.09,3,1,1,有,無,10480000.0,166111.9036297353,Not Applicable,0.0,0,2019,09,1956.675,2,1,0
Xinyi District,Premises (land + building) + parking space,11.98,Address,See other registration items,Reinforced concrete construction,107.0,111.37,2,1,1,有,有,26800000.0,240639.31040675225,Ramp plane,33.86,2700000,2019,10,1912.0,1,1,1
Xinyi District,Garage,6.47,Address,Parking space,Reinforced concrete construction,82.0,31.52,0,0,0,有,無,2450000.0,77728.42639593908,Ramp plane,31.52,2450000,2019,10,1937.0,0,0,1
Songshan District,Premises (land + building) + parking space,10.42,Quotient,See other registration items,Steel reinforced concrete construction,107.0,155.09,3,2,2,有,有,34660000.0,223483.13882261913,Ramp machinery,14.46,1700000,2019,09,1912.0,1,1,1
Songshan District,Premises (land + building) + parking space,6.97,Quotient,See other registration items,Steel reinforced concrete construction,107.0,138.25,2,2,1,有,有,27900000.0,201808.31826401447,Ramp plane,37.72,2700000,2019,08,1912.0,1,1,1
Beitou,Premises (land + building),42.0,Address,Resident,Reinforced concrete construction,63.0,105.97,3,2,2,有,無,21500000.0,202887.60970085874,Not Applicable,0.0,0,2019,10,1956.0,1,1,0
Beitou,Premises (land + building),5.22,Other,Resident,Reinforced concrete construction,67.0,56.9,2,1,1,有,有,8500000.0,149384.88576449914,Not Applicable,0.0,0,2019,10,1952.0,2,1,0
Beitou,Land,2246.29,Agriculture,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,135900000.0,60499.7573777206,Not Applicable,0.0,0,2019,10,2019.0,3,0,0
shihlin,Land,2602.53,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,50000000.0,19212.07440452175,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Beitou,Premises (land + building) + parking space,17.59,Address,Resident,Reinforced concrete construction,98.0,124.36,2,2,1,有,有,13000000.0,104535.22032807977,Ramp plane,47.42,0,2019,10,1921.0,1,1,1
Beitou,Premises (land + building),10.2,Address,Resident,Reinforced concrete construction,86.0,70.18,2,1,1,有,有,8400000.0,119692.22000569962,Not Applicable,0.0,0,2019,10,1933.0,1,1,0
shihlin,Premises (land + building),94.12,Address,Resident,Reinforced concrete construction,65.0,102.92,4,2,2,有,無,11000000.0,106879.12942090945,Not Applicable,0.0,0,2019,10,1954.0,1,1,0
Beitou,Premises (land + building),7.88,Other,Resident,Reinforced concrete construction,98.0,48.8,0,0,0,無,有,4880000.0,100000.0,Not Applicable,0.0,0,2019,10,1921.0,1,1,0
shihlin,Premises (land + building),33.24,Address,Resident,Reinforced concrete construction,71.0,114.1,3,2,2,有,無,15500000.0,135845.74934268187,Not Applicable,0.0,0,2019,09,1948.0,1,1,0
shihlin,Land,215.29,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,538213.0,2499.94426122904,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
shihlin,Premises (land + building),30.75,Address,Resident,Strengthen brickwork,64.98,83.48,2,1,1,有,無,17800000.0,213224.72448490656,Not Applicable,0.0,0,2019,10,1954.02,1,1,0
Beitou,Premises (land + building),115.0,Quotient,Residential business,Brickwork,75.0,107.66,2,1,3,有,無,42000000.0,390117.0351105332,Not Applicable,0.0,0,2019,09,1944.0,2,1,0
Beitou,Premises (land + building),4.13,Other,Resident,Reinforced concrete construction,67.0,25.5,1,0,1,有,無,2500000.0,98039.2156862745,Not Applicable,0.0,0,2019,10,1952.0,1,1,0
Beitou,Land,95.71,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,68432650.0,715000.0,Not Applicable,0.0,0,2019,11,2019.0,1,0,0
Beitou,Premises (land + building),28.4,Address,Resident,Reinforced concrete construction,65.0,91.42,3,2,2,有,無,10000000.0,109385.25486764385,Not Applicable,0.0,0,2019,09,1954.0,1,1,0
Daan District,Premises (land + building),25.38,Address,Resident,Reinforced concrete construction,80.0,115.37,3,2,1,有,無,31600000.0,273901.3608390396,Not Applicable,0.0,0,2019,07,1939.0,1,1,0
Daan District,Premises (land + building),20.74,Other,For commercial use,Reinforced concrete construction,71.0,146.51999999999998,0,2,1,有,有,55000000.0,375375.37537537544,Not Applicable,0.0,0,2019,08,1948.0,1,1,0
Daan District,Premises (land + building),50.0,Address,See other registration items,Strengthen brickwork,58.92857142857143,138.81,4,2,2,有,無,34500000.0,248541.17138534688,Not Applicable,0.0,0,2019,07,1960.0714285714287,1,1,0
Daan District,Garage,0.1,Address,Parking space,Reinforced concrete construction,106.0,32.09,0,0,0,有,有,3100000.0,96603.30320972264,Ramp plane,32.07,3100000,2019,10,1913.0,0,0,1
Daan District,Premises (land + building),3.31,Quotient,Resident,Reinforced concrete construction,96.0,38.94,0,0,0,無,有,14000000.0,359527.478171546,Not Applicable,0.0,0,2019,10,1923.0,2,1,0
Daan District,Premises (land + building),11.75,Address,Resident,Reinforced concrete construction,94.0,54.38,1,1,1,有,有,12880000.0,236851.78374402353,Not Applicable,0.0,0,2019,10,1925.0,1,1,0
Daan District,Premises (land + building),8.2,Other,Resident,Reinforced concrete construction,0.0,91.09,0,0,0,無,有,24000000.0,263475.6833900538,Not Applicable,0.0,0,2019,10,2019.0,2,1,0
Daan District,Premises (land + building),31.5,Address,Resident,Reinforced concrete construction,87.0,61.78,0,0,0,無,無,14700000.0,237941.0812560699,Not Applicable,0.0,0,2019,10,1932.0,1,1,0
Daan District,Premises (land + building),24.0,Address,Resident,Reinforced concrete construction,60.0,80.57,3,2,1,有,無,15700000.0,194861.61102147202,Not Applicable,0.0,0,2019,10,1959.0,1,1,0
Wenshan District,Premises (land + building),36.33,Address,Resident,Reinforced concrete construction,78.0,109.0,3,2,2,有,有,12800000.0,117431.19266055046,Not Applicable,0.0,0,2019,09,1941.0,1,1,0
Wanhua District,Premises (land + building) + parking space,53.48,Address,Resident,Reinforced concrete construction,102.0,206.69,4,2,2,有,有,13000000.0,62896.12463109004,Ramp plane,0.0,0,2014,03,1912.0,1,1,1
Zhongshan Area,Premises (land + building) + parking space,47.09,Address,Resident,Reinforced concrete construction,89.0,155.26999999999998,3,2,2,有,無,24100000.0,155213.49906614286,Ramp plane,0.0,0,2019,10,1930.0,1,1,1
Neihu District,Premises (land + building) + parking space,20.98,Quotient,Resident,Reinforced concrete construction,104.0,224.1,2,2,2,有,有,38800000.0,173136.99241410085,Ramp plane,33.24,2500000,2019,07,1915.0,1,1,1
Neihu District,Premises (land + building) + parking space,22.28,Address,Resident,Reinforced concrete construction,97.0,118.89,2,2,1,有,有,20800000.0,174951.635966019,Ramp plane,24.09,2500000,2019,08,1922.0,1,1,1
Nangang District,Premises (land + building),26.78,Address,Resident,Reinforced concrete construction,95.13333333333334,130.53,4,2,2,有,有,20500000.0,157052.01869302077,Not Applicable,0.0,0,2019,09,1923.8666666666666,1,1,0
Songshan District,Premises (land + building) + parking space,17.48,Address,See other registration items,Reinforced concrete construction,106.0,132.93,2,2,2,有,有,27500000.0,206875.7992928609,Ramp plane,29.17,3000000,2019,08,1913.0,1,1,1
Nangang District,Premises (land + building),21.25,Address,Resident,Strengthen brickwork,63.4,77.0,3,1,1,有,無,3900000.0,50649.35064935065,Not Applicable,0.0,0,2019,09,1955.6,1,1,0
Xinyi District,Premises (land + building),25.3,Address,Resident,Reinforced concrete construction,76.0,131.75,3,2,2,有,無,23850000.0,181024.6679316888,Not Applicable,0.0,0,2019,10,1943.0,1,1,0
Xinyi District,Land,18.0,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,820800.0,45600.0,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Beitou,Premises (land + building),19.83,Address,Resident,Reinforced concrete construction,66.0,85.8,2,2,1,有,無,2660000.0,31002.331002331004,Not Applicable,0.0,0,2019,10,1953.0,1,1,0
shihlin,Premises (land + building),6.29,work,See other registration items,Reinforced concrete construction,96.0,41.69,0,1,1,有,有,7440000.0,178460.06236507557,Not Applicable,0.0,0,2019,08,1923.0,1,1,0
Beitou,Premises (land + building),36.75,Address,Resident,Reinforced concrete construction,62.0,87.3,2,2,1,有,無,19100000.0,218785.79610538375,Not Applicable,0.0,0,2019,10,1957.0,1,1,0
shihlin,Premises (land + building),16.36,Other,For commercial use,Reinforced concrete construction,67.0,106.65,1,2,1,有,有,16200000.0,151898.73417721517,Not Applicable,0.0,0,2019,10,1952.0,2,1,0
Daan District,Land,3.0,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,188550.0,62850.0,Not Applicable,0.0,0,2019,11,2019.0,1,0,0
Daan District,Premises (land + building),7.13,Address,For commercial use,Reinforced concrete construction,85.0,38.620000000000005,1,1,1,有,有,10300000.0,266701.1910926981,Not Applicable,0.0,0,2019,10,1934.0,2,1,0
Daan District,Premises (land + building),20.57,Other,Resident,Reinforced concrete construction,69.0,185.77,3,2,2,有,有,51000000.0,274533.0247079722,Not Applicable,0.0,0,2019,08,1950.0,1,1,0
Daan District,Premises (land + building),10.48,Quotient,For commercial use,Reinforced concrete construction,72.0,120.55,2,1,2,有,有,23000000.0,190792.20240564083,Not Applicable,0.0,0,2019,09,1947.0,1,1,0
Daan District,Premises (land + building),12.55,Quotient,For commercial use,Reinforced concrete construction,72.0,139.04,3,2,1,有,有,26000000.0,186996.54775604143,Not Applicable,0.0,0,2019,09,1947.0,1,1,0
Neihu District,Premises (land + building),22.84,Address,Resident,Reinforced concrete construction,74.0,113.53,4,2,2,有,無,12160000.0,107108.25332511231,Not Applicable,0.0,0,2019,10,1945.0,3,1,0
Neihu District,Premises (land + building),11.77,Quotient,For commercial use,Reinforced concrete construction,75.0,102.52,4,2,2,有,有,25300000.0,246781.11587982834,Not Applicable,0.0,0,2019,10,1944.0,1,1,0
Zhongshan Area,Garage,0.18,Address,For commercial use,Reinforced concrete construction,93.0,15.53,0,0,0,有,有,1000000.0,64391.5003219575,Lifting machinery,15.38,1000000,2019,11,1926.0,0,0,1
Zhongshan Area,Land,4.0,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,214200.0,53550.0,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Zhongshan Area,Premises (land + building) + parking space,6.37,Quotient,For commercial use,Reinforced concrete construction,90.0,81.84,1,1,1,有,有,17280000.0,211143.69501466275,Tower parking,0.0,1500000,2019,10,1929.0,1,1,1
Wanhua District,Premises (land + building),26.0,Address,Resident,Reinforced concrete construction,66.0,78.65,1,0,1,有,無,8230000.0,104640.81373172281,Not Applicable,0.0,0,2019,09,1953.0,1,1,0
Datong District,Premises (land + building),21.5,Address,Resident,Reinforced concrete construction,62.0,79.59,3,1,1,有,無,7830000.0,98379.19336600075,Not Applicable,0.0,0,2019,09,1957.0,1,1,0
Wenshan District,Premises (land + building) + parking space,86.54,Address,Resident,Reinforced concrete construction,98.0,236.26,3,2,2,有,有,34000000.0,143909.25251841193,Ramp plane,35.87,2000000,2019,05,1921.0,1,1,1
Wenshan District,Premises (land + building),18.93,Address,See other registration items,Reinforced concrete construction,86.0,78.03999999999999,2,2,1,有,有,11800000.0,151204.5105074321,Not Applicable,0.0,0,2019,08,1933.0,1,1,0
Wenshan District,Premises (land + building) + parking space,20.48,Address,Resident,Reinforced concrete construction,96.0,109.3,2,2,1,有,有,18000000.0,164684.3549862763,Lifting machinery,7.66,1500000,2019,09,1923.0,1,1,1
Wenshan District,Premises (land + building) + parking space,52.75,Address,Resident,Reinforced concrete construction,79.0,179.07,3,2,2,有,無,20350000.0,113642.70955492267,Ramp plane,34.31,1950000,2019,10,1940.0,1,1,1
Zhongzheng District,Premises (land + building),6.36,Address,Resident,Reinforced concrete construction,81.0,32.0,0,1,1,有,有,5920000.0,185000.0,Not Applicable,0.0,0,2019,08,1938.0,1,1,0
Daan District,Premises (land + building),32.95,Address,Resident,Reinforced concrete construction,70.0,116.56,3,2,2,有,無,23200000.0,199039.12148249827,Not Applicable,0.0,0,2019,10,1949.0,1,1,0
Daan District,Premises (land + building),24.8,Quotient,Resident,Reinforced concrete construction,76.0,94.94,3,2,2,有,無,18800000.0,198019.801980198,Not Applicable,0.0,0,2019,10,1943.0,1,1,0
Daan District,Premises (land + building) + parking space,15.81,Address,Resident,Reinforced concrete construction,101.0,78.31,2,1,1,有,有,25100000.0,320521.006257183,Other,0.0,0,2019,10,1918.0,1,1,1
Daan District,Premises (land + building),19.58,Address,Resident,Reinforced concrete construction,76.0,107.72,3,2,2,有,有,23580000.0,218900.8540660973,Not Applicable,0.0,0,2019,10,1943.0,2,1,0
Daan District,Premises (land + building),28.87,Quotient,Resident,Reinforced concrete construction,77.0,94.15,2,2,1,有,有,22000000.0,233669.67604885818,Not Applicable,0.0,0,2019,09,1942.0,2,1,0
Beitou,Premises (land + building),41.0,Address,Resident,Reinforced concrete construction,66.0,108.83,4,2,1,有,無,9500000.0,87292.10695580264,Not Applicable,0.0,0,2019,09,1953.0,1,1,0
shihlin,Land,2.67,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,129133.0,48364.419475655435,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
shihlin,Land,64.19,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,3102643.0,48335.301448823804,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Beitou,Premises (land + building),49.0,Address,Resident,Brickwork,46.0,39.0,0,0,0,無,無,7330000.0,187948.71794871794,Not Applicable,0.0,0,2019,09,1973.0,1,1,0
shihlin,Premises (land + building),25.19,Address,Resident,Reinforced concrete construction,72.0,101.9,4,2,2,有,無,13500000.0,132482.8263002944,Not Applicable,0.0,0,2019,09,1947.0,1,1,0
shihlin,Premises (land + building),26.0,Other,Resident,Strengthen brickwork,59.0,77.0,0,0,0,無,無,6700000.0,87012.98701298701,Not Applicable,0.0,0,2019,10,1960.0,1,1,0
shihlin,Premises (land + building) + parking space,16.07,Address,Resident,Reinforced concrete construction,107.0,141.60000000000002,3,2,2,有,有,29000000.0,204802.2598870056,Lifting plane,37.8,2000000,2019,09,1912.0,1,1,1
shihlin,Premises (land + building),26.88,Quotient,Resident,Reinforced concrete construction,73.0,125.45,3,2,2,有,有,20300000.0,161817.4571542447,Not Applicable,0.0,0,2019,10,1946.0,1,1,0
shihlin,Premises (land + building) + parking space,13.11,Quotient,Resident,Reinforced concrete construction,108.0,61.05,1,1,1,有,有,16400000.0,268632.26863226865,Lifting machinery,8.48,1900000,2019,10,1911.0,1,1,1
shihlin,Land,16.15,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,879300.0,54445.82043343654,Not Applicable,0.0,0,2019,11,2019.0,1,0,0
Beitou,Premises (land + building) + parking space,26.7,Other,See other registration items,Reinforced concrete construction,102.0,133.17,0,0,0,無,有,15120000.0,113539.08537959,Ramp plane,27.52,2150000,2019,10,1917.0,1,1,1
Beitou,Land,672.0,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,12196000.0,18148.809523809523,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
shihlin,Premises (land + building) + parking space,31.88,Address,Resident,Reinforced concrete construction,97.0,179.38,3,2,2,有,有,44500000.0,248076.70866317317,Ramp plane,0.0,0,2019,09,1922.0,1,1,1
shihlin,Land,66.17,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,3201600.0,48384.464258727516,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
shihlin,Premises (land + building),25.75,Address,Resident,Reinforced concrete construction,65.0,78.67,3,2,1,有,無,8500000.0,108046.26922588026,Not Applicable,0.0,0,2019,10,1954.0,1,1,0
Songshan District,Premises (land + building),3.64,Other,Resident,Reinforced concrete construction,98.0,45.22,1,1,1,有,有,10400000.0,229986.73153471915,Not Applicable,0.0,0,2019,09,1921.0,1,1,0
Nangang District,Land,9414.0,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,63000000.0,6692.160611854684,Not Applicable,0.0,0,2019,06,2019.0,12,0,0
Songshan District,Premises (land + building),4.03,Quotient,For commercial use,Reinforced concrete construction,69.0,95.52,2,2,2,有,無,2010000.0,21042.713567839197,Not Applicable,0.0,0,2019,10,1950.0,2,1,0
Nangang District,Premises (land + building) + parking space,112.21,Address,Resident,Steel reinforced concrete construction,103.0,674.0799999999999,4,2,6,有,有,135880000.0,201578.4476619986,Ramp plane,0.0,0,2019,10,1916.0,1,1,4
Nangang District,Land,2.62,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,91854.0,35058.7786259542,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Songshan District,Premises (land + building),31.67,Address,Resident,Reinforced concrete construction,76.0,141.97,4,2,2,有,無,29000000.0,204268.50743114742,Not Applicable,0.0,0,2019,10,1943.0,1,1,0
Nangang District,Land,3.07,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,65458.0,21321.82410423453,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Nangang District,Land,3.07,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,65458.0,21321.82410423453,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
Nangang District,Premises (land + building) + parking space,47.47,Address,Resident,Reinforced concrete construction,103.0,287.86,3,2,2,有,有,59500000.0,206697.70027096506,Ramp plane,45.17,0,2019,10,1916.0,1,1,1
Songshan District,Premises (land + building),41.0,Address,Resident,Reinforced concrete construction,61.0,118.42,3,2,1,有,無,18000000.0,152001.3511231211,Not Applicable,0.0,0,2019,10,1958.0,1,1,0
Nangang District,Premises (land + building) + parking space,30.25,Address,Resident,Reinforced concrete construction,97.0,149.51999999999998,2,2,2,有,有,18400000.0,123060.46013911183,Ramp machinery,0.0,0,2019,11,1922.0,1,1,2
Xinyi District,Premises (land + building),31.25,Address,Resident,Reinforced concrete construction,66.0,88.49,3,2,2,有,無,19500000.0,220363.88292462425,Not Applicable,0.0,0,2019,10,1953.0,1,1,0
Xinyi District,Land,1.87,Other,See other registration items,Not Applicable,0.0,0.0,0,0,0,有,無,8357.0,4468.983957219251,Not Applicable,0.0,0,2019,10,2019.0,1,0,0
